episode,mean_i,mean_c,var_i,var_c,loss
0,0.48772671818733215,0.498832106590271,0.5923380255699158,0.5811488628387451,0.0005087674
1,0.5012052059173584,0.5092921257019043,0.6006531119346619,0.5906416773796082,0.0012146388
2,0.5153637528419495,0.521094799041748,0.6089440584182739,0.6002254486083984,0.0024961466
3,0.5287184715270996,0.5327478647232056,0.6171846985816956,0.6097514033317566,0.0009285649
4,0.5399386882781982,0.5427682995796204,0.6255897879600525,0.6193296909332275,0.0012275726
5,0.540586531162262,0.5426842570304871,0.6341451406478882,0.6290720105171204,0.0012521276
6,0.5344800353050232,0.5360577702522278,0.6428139209747314,0.6389697790145874,0.0011741468
7,0.5276450514793396,0.5287359356880188,0.651429295539856,0.6487746238708496,0.0007469398
8,0.5176084041595459,0.5182414054870605,0.6600258946418762,0.6585334539413452,0.0007438973
9,0.5109508037567139,0.511150062084198,0.6683251261711121,0.6678557395935059,0.0003722313
10,0.502635657787323,0.5023424029350281,0.6767166256904602,0.6773973107337952,0.00097063184
11,0.4929872453212738,0.4923512041568756,0.6848164200782776,0.6862568855285645,8.773043e-05
12,0.4840237498283386,0.4831894636154175,0.692438006401062,0.6942926049232483,-0.00017908959
13,0.47482985258102417,0.4737309515476227,0.6999979019165039,0.7023961544036865,0.00045384
14,0.4686889946460724,0.467321515083313,0.7074393630027771,0.7104361057281494,0.0006302087
15,0.46344539523124695,0.4618057310581207,0.7147546410560608,0.7183791399002075,0.0004269425
16,0.45918768644332886,0.45722952485084534,0.7223854064941406,0.7267805933952332,0.001524426
17,0.45554816722869873,0.45329949259757996,0.7295913100242615,0.7347198724746704,-5.798714e-05
18,0.4525972604751587,0.4499901235103607,0.7368118762969971,0.7428663372993469,0.00074709265
19,0.45227161049842834,0.4493243992328644,0.7440442442893982,0.7511243224143982,0.0009936114
20,0.4528771936893463,0.449649840593338,0.7508968710899353,0.7589467763900757,9.333975e-05
21,0.4548005163669586,0.4512956738471985,0.7575269937515259,0.766669511795044,0.0003985624
22,0.4565676152706146,0.4527464807033539,0.7640881538391113,0.7744812965393066,0.0005728891
23,0.457611083984375,0.4534057378768921,0.7704751491546631,0.7822964191436768,0.00033019827
24,0.45992717146873474,0.45531657338142395,0.7770124077796936,0.7905228137969971,0.0012180182
25,0.4613708555698395,0.45635369420051575,0.7835498452186584,0.7987298369407654,0.00038533602
26,0.4617682695388794,0.4565417766571045,0.7908986210823059,0.807070255279541,0.00051987485
27,0.4606744050979614,0.4551912248134613,0.7984445095062256,0.8155365586280823,0.00045607664
28,0.46075835824012756,0.4551589787006378,0.8060848712921143,0.8238519430160522,0.0006087204
29,0.461536169052124,0.45595020055770874,0.8135008811950684,0.8316391706466675,0.00013022206
30,0.46252313256263733,0.4569193422794342,0.8208116292953491,0.8393005132675171,0.0003420507
31,0.46392446756362915,0.4583115875720978,0.8274770379066467,0.845059871673584,-0.00027972137
32,0.46647071838378906,0.4610506296157837,0.8344951272010803,0.8524752855300903,0.0009420513
33,0.4706691801548004,0.4655558168888092,0.8413459062576294,0.8601922988891602,0.00043235364
34,0.4751097559928894,0.47027134895324707,0.8483679294586182,0.8678513765335083,0.00062326505
35,0.48103898763656616,0.47674015164375305,0.8548962473869324,0.8740004301071167,1.2646116e-05
36,0.4851666986942291,0.4812202453613281,0.8615647554397583,0.8804327845573425,0.00042420148
37,0.4903185963630676,0.486821711063385,0.8681660294532776,0.8866316080093384,0.00038992392
38,0.4933411478996277,0.49013352394104004,0.8747075200080872,0.8927042484283447,0.00013933973
